outlet_id,category,outlet_name,dealer_name,outlet_type,state,city,locality,street_address,pincode,country,latitude,longitude,telephone,email,contact_person,opening_hours,payment_modes,amenities,rating_value,rating_count,page_url,map_url
238230,Retail_Fuel,IndianOil,Oriental Filling Station,GasStation,Andaman And Nicobar Islands,Port Blair,Beodnabad,"Ground Floor, Bathu Basti",744105,India,11.62125,92.716801000,+919476022135,almasjvd94@gmail.com,A Javed,Monday: 06:00 AM-10:00 PM; Tuesday: 06:00 AM-10:00 PM; Wednesday: 06:00 AM-10:00 PM; Thursday: 06:00 AM-10:00 PM; Friday: 06:00 AM-10:00 PM; Saturday: 06:00 AM-10:00 PM; Sunday: 06:00 AM-10:00 PM,"Cash, Credit Card, Debit Card, Online Payment","Kerbside Parking; Clean Drinking Water, Free Air Facility, Toilet",3.9,369,https://locator.iocl.com/indianoil-oriental-filling-station-petrol-pump-beodnabad-port-blair-238230/Home,https://locator.iocl.com/indianoil-oriental-filling-station-petrol-pump-beodnabad-port-blair-238230/Map
238009,Retail_Fuel,IndianOil,Jadwet Trading Company Ro,GasStation,Andaman And Nicobar Islands,Port Blair,Port Blair,"Ground Floor, Aberdeen Bazar",744101,India,11.6685,92.7387,+919531894054,jadwetro@gmail.com,Fathima Hashim Jadwet,Monday: 06:00 AM-10:00 PM; Tuesday: 06:00 AM-10:00 PM; Wednesday: 06:00 AM-10:00 PM; Thursday: 06:00 AM-10:00 PM; Friday: 06:00 AM-10:00 PM; Saturday: 06:00 AM-10:00 PM; Sunday: 06:00 AM-10:00 PM,"Cash, Credit Card, Debit Card, Online Payment","Kerbside Parking; Clean Drinking Water, Free Air Facility, Toilet",4,562,https://locator.iocl.com/indianoil-jadwet-trading-company-ro-petrol-pump-port-blair-port-blair-238009/Home,https://locator.iocl.com/indianoil-jadwet-trading-company-ro-petrol-pump-port-blair-port-blair-238009/Map
237883,Retail_Fuel,IndianOil,MS Sonam Angdus Memorial F St,GasStation,Ladakh,Kargil,Chiktan,"Ground Floor, Kargil Leh Road, Wakha",194109,India,34.371288000,76.388504000,+919419443325,wakhapump@gmail.com,Sonam,Monday: 06:00 AM-10:00 PM; Tuesday: 06:00 AM-10:00 PM; Wednesday: 06:00 AM-10:00 PM; Thursday: 06:00 AM-10:00 PM; Friday: 06:00 AM-10:00 PM; Saturday: 06:00 AM-10:00 PM; Sunday: 06:00 AM-10:00 PM,"Cash, Credit Card, Debit Card, Online Payment","Kerbside Parking; Clean Drinking Water, Free Air Facility, Toilet",3.8,24,https://locator.iocl.com/indianoil-ms-sonam-angdus-memorial-f-st-petrol-pump-chiktan-kargil-237883/Home,https://locator.iocl.com/indianoil-ms-sonam-angdus-memorial-f-st-petrol-pump-chiktan-kargil-237883/Map
237832,Retail_Fuel,IndianOil,Aniidco Retail Outlet A Site,GasStation,Andaman And Nicobar Islands,Port Blair,Ograbanj,"Ground Floor, Junglighat, Port Blair",744103,India,11.662476,92.732551,+919933263226,aniidcopol@gmail.com,Md Pervaiz,Monday: 06:00 AM-10:00 PM; Tuesday: 06:00 AM-10:00 PM; Wednesday: 06:00 AM-10:00 PM; Thursday: 06:00 AM-10:00 PM; Friday: 06:00 AM-10:00 PM; Saturday: 06:00 AM-10:00 PM; Sunday: 06:00 AM-10:00 PM,"Cash, Credit Card, Debit Card, Online Payment","Kerbside Parking; ATM, Clean Drinking Water, Free Air Facility, Toilet",4.1,651,https://locator.iocl.com/indianoil-aniidco-retail-outlet-a-site-petrol-pump-ograbanj-port-blair-237832/Home,https://locator.iocl.com/indianoil-aniidco-retail-outlet-a-site-petrol-pump-ograbanj-port-blair-237832/Map
238232,Retail_Fuel,IndianOil,Marina Refueling Station,GasStation,Andaman And Nicobar Islands,Port Blair,Ograbanj,"Ground Floor, Austinabad, Brijgunj, South Anda",744103,India,11.637411,92.735161,+919474206918,nambiranjan05011980@gmail.com,Pilgrime Marina,Monday: 06:00 AM-10:00 PM; Tuesday: 06:00 AM-10:00 PM; Wednesday: 06:00 AM-10:00 PM; Thursday: 06:00 AM-10:00 PM; Friday: 06:00 AM-10:00 PM; Saturday: 06:00 AM-10:00 PM; Sunday: 06:00 AM-10:00 PM,"Cash, Credit Card, Debit Card, Online Payment","Kerbside Parking; Clean Drinking Water, Free Air Facility, Toilet",4.4,95,https://locator.iocl.com/indianoil-marina-refueling-station-petrol-pump-ograbanj-port-blair-238232/Home,https://locator.iocl.com/indianoil-marina-refueling-station-petrol-pump-ograbanj-port-blair-238232/Map
239031,Retail_Fuel,IndianOil,Kargil Warriors Leh,GasStation,Ladakh,Leh,Phey,Ground Floor,194101,India,34.152879000,77.458142000,+919906984669,kargailwarrior@gmail.com,Ladol Nawang,Monday: 06:00 AM-10:00 PM; Tuesday: 06:00 AM-10:00 PM; Wednesday: 06:00 AM-10:00 PM; Thursday: 06:00 AM-10:00 PM; Friday: 06:00 AM-10:00 PM; Saturday: 06:00 AM-10:00 PM; Sunday: 06:00 AM-10:00 PM,"Cash, Credit Card, Debit Card, Online Payment","Kerbside Parking; Clean Drinking Water, Free Air Facility, Toilet",4.3,54,https://locator.iocl.com/indianoil-kargil-warriors-leh-petrol-pump-phey-leh-239031/Home,https://locator.iocl.com/indianoil-kargil-warriors-leh-petrol-pump-phey-leh-239031/Map
238845,Retail_Fuel,IndianOil,Saboo Filling Station,GasStation,Ladakh,Leh,Saboo,Ground Floor,194101,India,34.119715,77.598773,+918082333703,stanzinchozang@gmail.com,Stanzin Chozang Stanzin,Monday: 06:00 AM-10:00 PM; Tuesday: 06:00 AM-10:00 PM; Wednesday: 06:00 AM-10:00 PM; Thursday: 06:00 AM-10:00 PM; Friday: 06:00 AM-10:00 PM; Saturday: 06:00 AM-10:00 PM; Sunday: 06:00 AM-10:00 PM,"Cash, Credit Card, Debit Card, Online Payment","Kerbside Parking; Clean Drinking Water, Toilet",4.4,45,https://locator.iocl.com/indianoil-saboo-filling-station-petrol-pump-saboo-leh-238845/Home,https://locator.iocl.com/indianoil-saboo-filling-station-petrol-pump-saboo-leh-238845/Map
238956,Retail_Fuel,IndianOil,Shey Filling Station,GasStation,Ladakh,Leh,Chamray,"Ground Floor, Manali Leh Road",194201,India,34.0882489,77.6136221,+919906981171,sheyfillingstation@gmail.com,Suhail Mustafa,Monday: 06:00 AM-11:59 PM; Tuesday: 06:00 AM-11:59 PM; Wednesday: 06:00 AM-11:59 PM; Thursday: 06:00 AM-11:59 PM; Friday: 06:00 AM-11:59 PM; Saturday: 06:00 AM-11:59 PM; Sunday: 06:00 AM-11:59 PM,"Cash, Credit Card, Debit Card, Online Payment","Kerbside Parking; Clean Drinking Water, Free Air Facility, Toilet",4.5,23,https://locator.iocl.com/indianoil-shey-filling-station-petrol-pump-chamray-leh-238956/Home,https://locator.iocl.com/indianoil-shey-filling-station-petrol-pump-chamray-leh-238956/Map
238280,Retail_Fuel,IndianOil,War Hero Filling Station,GasStation,Ladakh,Leh,Chuglamsar,Ground Floor,194104,India,34.11684,77.58866,+919622025053,warherofillingstation@gmail.com,Dolma Furbu,Monday: 06:00 AM-10:00 PM; Tuesday: 06:00 AM-10:00 PM; Wednesday: 06:00 AM-10:00 PM; Thursday: 06:00 AM-10:00 PM; Friday: 06:00 AM-10:00 PM; Saturday: 06:00 AM-10:00 PM; Sunday: 06:00 AM-10:00 PM,"Cash, Credit Card, Debit Card, Online Payment","Kerbside Parking; Clean Drinking Water, Free Air Facility, Toilet",4.1,189,https://locator.iocl.com/indianoil-war-hero-filling-station-petrol-pump-chuglamsar-leh-238280/Home,https://locator.iocl.com/indianoil-war-hero-filling-station-petrol-pump-chuglamsar-leh-238280/Map
238843,Retail_Fuel,IndianOil,Gasho Filling Station,GasStation,Ladakh,Kargil,Akchamal,"Ground Floor, Srinagar Kargil Road, NH 1",194103,India,34.57486,76.12434,+919541603191,gasho951@gmail.com,Sandeep Rajan Sandeep,Monday: 06:00 AM-10:00 PM; Tuesday: 06:00 AM-10:00 PM; Wednesday: 06:00 AM-10:00 PM; Thursday: 06:00 AM-10:00 PM; Friday: 06:00 AM-10:00 PM; Saturday: 06:00 AM-10:00 PM; Sunday: 06:00 AM-10:00 PM,"Cash, Credit Card, Debit Card, Online Payment","Kerbside Parking; Free Air Facility, Toilet",3.2,10,https://locator.iocl.com/indianoil-gasho-filling-station-petrol-pump-akchamal-kargil-238843/Home,https://locator.iocl.com/indianoil-gasho-filling-station-petrol-pump-akchamal-kargil-238843/Map
238846,Retail_Fuel,IndianOil,Ayra Petroleum,GasStation,Lakshadweep,Lakshadweep,Kavaratti,Ground Floor,682555,India,10.57026511,72.63717696,+919846281282,ayrapetroleum@gmail.com,Noushad Nishad M,Monday: 12:00 AM-11:59 PM; Tuesday: 12:00 AM-11:59 PM; Wednesday: 12:00 AM-11:59 PM; Thursday: 12:00 AM-11:59 PM; Friday: 12:00 AM-11:59 PM; Saturday: 12:00 AM-11:59 PM; Sunday: 12:00 AM-11:59 PM,"Cash, Credit Card, Debit Card, Online Payment","Kerbside Parking; Free Air Facility, Toilet",3.9,37,https://locator.iocl.com/indianoil-ayra-petroleum-petrol-pump-kavaratti-lakshadweep-238846/Home,https://locator.iocl.com/indianoil-ayra-petroleum-petrol-pump-kavaratti-lakshadweep-238846/Map
238957,Retail_Fuel,IndianOil,Nims Petroleum Adhoc,GasStation,Lakshadweep,Lakshadweep,Minicoy,Ground Floor,682559,India,8.280280010,73.058170000,+919847002486,nimsadhocminicoy@gmail.com,K Siji -T M Hareendran,Monday: 06:00 AM-10:00 PM; Tuesday: 06:00 AM-10:00 PM; Wednesday: 06:00 AM-10:00 PM; Thursday: 06:00 AM-10:00 PM; Friday: 06:00 AM-10:00 PM; Saturday: 06:00 AM-10:00 PM; Sunday: 06:00 AM-10:00 PM,"Cash, Credit Card, Debit Card, Online Payment","Kerbside Parking; Clean Drinking Water, Toilet",3.7,18,https://locator.iocl.com/indianoil-nims-petroleum-adhoc-petrol-pump-minicoy-lakshadweep-238957/Home,https://locator.iocl.com/indianoil-nims-petroleum-adhoc-petrol-pump-minicoy-lakshadweep-238957/Map
279089,Retail_Fuel,IndianOil,Jayesh Petroleum Adhoc,GasStation,Lakshadweep,Lakshadweep,Kalpeni Island,Ground Floor,682557,India,10.07184909,73.64478845,+919188147917,jayeshpetroleumklp@gmail.com,Manager,Monday: 12:00 AM-11:59 PM; Tuesday: 12:00 AM-11:59 PM; Wednesday: 12:00 AM-11:59 PM; Thursday: 12:00 AM-11:59 PM; Friday: 12:00 AM-11:59 PM; Saturday: 12:00 AM-11:59 PM; Sunday: 12:00 AM-11:59 PM,"Cash, Credit Card, Debit Card, Online Payment",Kerbside Parking,4.4,20,https://locator.iocl.com/indianoil-jayesh-petroleum-adhoc-petrol-pump-kalpeni-island-lakshadweep-279089/Home,https://locator.iocl.com/indianoil-jayesh-petroleum-adhoc-petrol-pump-kalpeni-island-lakshadweep-279089/Map
279086,Retail_Fuel,IndianOil,Greens Fuels And Services Adhoc,GasStation,Lakshadweep,Lakshadweep,Kavaratti,Ground Floor,682555,India,10.5592761,72.6151119,+919447387917,greensfuelskvt@gmail.com,Manager,Monday: 12:00 AM-11:59 PM; Tuesday: 12:00 AM-11:59 PM; Wednesday: 12:00 AM-11:59 PM; Thursday: 12:00 AM-11:59 PM; Friday: 12:00 AM-11:59 PM; Saturday: 12:00 AM-11:59 PM; Sunday: 12:00 AM-11:59 PM,"Cash, Credit Card, Debit Card, Online Payment",Kerbside Parking,3.5,2,https://locator.iocl.com/indianoil-greens-fuels-and-services-adhoc-petrol-pump-kavaratti-lakshadweep-279086/Home,https://locator.iocl.com/indianoil-greens-fuels-and-services-adhoc-petrol-pump-kavaratti-lakshadweep-279086/Map
279083,Retail_Fuel,IndianOil,Supreme Fuels Adhoc,GasStation,Lakshadweep,Lakshadweep,Andrott Island,Rs No 222/1A,682551,India,10.8170913,73.6765141,+918301973283,supraimaifuailsand@gmail.chom,Manager,Monday: 12:00 AM-11:59 PM; Tuesday: 12:00 AM-11:59 PM; Wednesday: 12:00 AM-11:59 PM; Thursday: 12:00 AM-11:59 PM; Friday: 12:00 AM-11:59 PM; Saturday: 12:00 AM-11:59 PM; Sunday: 12:00 AM-11:59 PM,"Cash, Credit Card, Debit Card, Online Payment",Kerbside Parking,1.5,12,https://locator.iocl.com/indianoil-supreme-fuels-adhoc-petrol-pump-andrott-island-lakshadweep-279083/Home,https://locator.iocl.com/indianoil-supreme-fuels-adhoc-petrol-pump-andrott-island-lakshadweep-279083/Map
238914,Retail_Fuel,IndianOil,Ratan Petrolium Dadra,GasStation,Dadra And Nagar Haveli,Silvassa,Amboli,"No 11001/16/17/18/19/20/12001/2, Dadra",396230,India,20.3236,72.9636,+919825171189,ratanpetroleum56@gmail.com,Kalaben M Delkar,Monday: 06:00 AM-10:00 PM; Tuesday: 06:00 AM-10:00 PM; Wednesday: 06:00 AM-10:00 PM; Thursday: 06:00 AM-10:00 PM; Friday: 06:00 AM-10:00 PM; Saturday: 06:00 AM-10:00 PM; Sunday: 06:00 AM-10:00 PM,"Cash, Credit Card, Debit Card, Online Payment","Kerbside Parking; Clean Drinking Water, Free Air Facility, Toilet",3.7,276,https://locator.iocl.com/indianoil-ratan-petrolium-dadra-petrol-pump-amboli-silvassa-238914/Home,https://locator.iocl.com/indianoil-ratan-petrolium-dadra-petrol-pump-amboli-silvassa-238914/Map
239156,Retail_Fuel,IndianOil,K R Madhak &amp; Sons,GasStation,Daman & Diu,Diu,Zolawadi,"No 4/555, MalalaKevdi Main Road",362520,India,20.714201,70.949600000,+918980350066,kmadhak@hotmail.com,Kishor Rughnath Madhak Kishor,Monday: 06:00 AM-10:00 PM; Tuesday: 06:00 AM-10:00 PM; Wednesday: 06:00 AM-10:00 PM; Thursday: 06:00 AM-10:00 PM; Friday: 06:00 AM-10:00 PM; Saturday: 06:00 AM-10:00 PM; Sunday: 06:00 AM-10:00 PM,"Cash, Credit Card, Debit Card, Online Payment","Kerbside Parking; Clean Drinking Water, Free Air Facility, Toilet",4,90,https://locator.iocl.com/indianoil-k-r-madhak-sons-petrol-pump-zolawadi-diu-239156/Home,https://locator.iocl.com/indianoil-k-r-madhak-sons-petrol-pump-zolawadi-diu-239156/Map
519430,Retail_Fuel,IndianOil,Sidco Energy Hub,GasStation,Ladakh,Leh,Leh,"Bus Stand Road, District Leh",194101,India,34.156641,77.583168,+919622129290,Sidcoleh@Gmail.Com,Manager,Monday: 06:00 AM-10:00 PM; Tuesday: 06:00 AM-10:00 PM; Wednesday: 06:00 AM-10:00 PM; Thursday: 06:00 AM-10:00 PM; Friday: 06:00 AM-10:00 PM; Saturday: 06:00 AM-10:00 PM; Sunday: 06:00 AM-10:00 PM,"Cash, Credit Card, Debit Card, Online Payment",Kerbside Parking,4.2,65,https://locator.iocl.com/indianoil-sidco-energy-hub-petrol-pump-leh-leh-519430/Home,https://locator.iocl.com/indianoil-sidco-energy-hub-petrol-pump-leh-leh-519430/Map
277694,Retail_Fuel,IndianOil,Tangtse Pangong Filling Station,GasStation,Ladakh,Leh,Tagste,"Ground Floor, Leh",194401,India,34.0398643,78.1648544,+916006954210,tundupgyatso01@gmail.com,Manager,Monday: 12:00 AM-11:59 PM; Tuesday: 12:00 AM-11:59 PM; Wednesday: 12:00 AM-11:59 PM; Thursday: 12:00 AM-11:59 PM; Friday: 12:00 AM-11:59 PM; Saturday: 12:00 AM-11:59 PM; Sunday: 12:00 AM-11:59 PM,"Cash, Credit Card, Debit Card, Online Payment",Kerbside Parking,4.4,145,https://locator.iocl.com/indianoil-tangtse-pangong-filling-station-petrol-pump-tagste-leh-277694/Home,https://locator.iocl.com/indianoil-tangtse-pangong-filling-station-petrol-pump-tagste-leh-277694/Map
519696,Retail_Fuel,IndianOil,Thiksey Filling Station,GasStation,Ladakh,Leh,Choglamsar,Thiksey Leh,194201,India,34.052938,77.664889,+919419178381,Cpoleh@Gmail.Com,Manager,Monday: 12:00 AM-11:59 PM; Tuesday: 12:00 AM-11:59 PM; Wednesday: 12:00 AM-11:59 PM; Thursday: 12:00 AM-11:59 PM; Friday: 12:00 AM-11:59 PM; Saturday: 12:00 AM-11:59 PM; Sunday: 12:00 AM-11:59 PM,"Cash, Credit Card, Debit Card, Online Payment",Kerbside Parking,3.5,2,https://locator.iocl.com/indianoil-thiksey-filling-station-petrol-pump-choglamsar-leh-519696/Home,https://locator.iocl.com/indianoil-thiksey-filling-station-petrol-pump-choglamsar-leh-519696/Map
277557,Retail_Fuel,IndianOil,Benzayaan Fuel &amp; Lubes,GasStation,Dadra And Nagar Haveli,Silvassa,Samarvani,Survey No 190/4,396230,India,20.255303,73.008086,+919904119000,tinuaa@yahoo.com,Manager,Monday: 12:00 AM-11:59 PM; Tuesday: 12:00 AM-11:59 PM; Wednesday: 12:00 AM-11:59 PM; Thursday: 12:00 AM-11:59 PM; Friday: 12:00 AM-11:59 PM; Saturday: 12:00 AM-11:59 PM; Sunday: 12:00 AM-11:59 PM,"Cash, Credit Card, Debit Card, Online Payment",Kerbside Parking,3,2,https://locator.iocl.com/indianoil-benzayaan-fuel-lubes-petrol-pump-samarvani-silvassa-277557/Home,https://locator.iocl.com/indianoil-benzayaan-fuel-lubes-petrol-pump-samarvani-silvassa-277557/Map
239344,Retail_Fuel,IndianOil,Coco Daman,GasStation,Daman & Diu,Daman,Bhimpore,Ground Floor,396210,India,20.403401,72.887401,+919737100027,sheetalpetroleumadhoc@gmail.com,Jagrutiben Hitesh Patel,Monday: 06:00 AM-10:00 PM; Tuesday: 06:00 AM-10:00 PM; Wednesday: 06:00 AM-10:00 PM; Thursday: 06:00 AM-10:00 PM; Friday: 06:00 AM-10:00 PM; Saturday: 06:00 AM-10:00 PM; Sunday: 06:00 AM-10:00 PM,"Cash, Credit Card, Debit Card, Online Payment","Kerbside Parking; Clean Drinking Water, Free Air Facility, Toilet",4.6,40,https://locator.iocl.com/indianoil-coco-daman-petrol-pump-bhimpore-daman-239344/Home,https://locator.iocl.com/indianoil-coco-daman-petrol-pump-bhimpore-daman-239344/Map
239157,Retail_Fuel,IndianOil,Sheetal Petroleum,GasStation,Daman & Diu,Daman,Dholar,"Survey No 57 &amp; 57A, Moti, Thanapardi",396220,India,20.375001,72.852501,+919737100027,sheetalpetroleumnanidaman@gmail.com,Smt. Jagrutiben Patel Jagrutiben,Monday: 06:00 AM-10:00 PM; Tuesday: 06:00 AM-10:00 PM; Wednesday: 06:00 AM-10:00 PM; Thursday: 06:00 AM-10:00 PM; Friday: 06:00 AM-10:00 PM; Saturday: 06:00 AM-10:00 PM; Sunday: 06:00 AM-10:00 PM,"Cash, Credit Card, Debit Card, Online Payment","Kerbside Parking; Clean Drinking Water, Free Air Facility, Toilet",4,149,https://locator.iocl.com/indianoil-sheetal-petroleum-petrol-pump-dholar-daman-239157/Home,https://locator.iocl.com/indianoil-sheetal-petroleum-petrol-pump-dholar-daman-239157/Map
